part,name,price,performance_score,description,purpose,clock_speed,vram,core,watt,ram_type,socket,capacity,s_type
gpu,NVIDIA GeForce GTX 1050 Ti,12999,55.0,Affordable GPU for 1080p gaming and light productivity.,"['Gaming', 'General']",1392,4,768.0,75.0,GDDR5,,,
ram,Corsair Vengeance LPX 16GB (2 x 8GB) DDR4 DRAM 3200MHz C16,6500,85.0,"Designed for high-performance overclocking, the Vengeance LPX is optimized for wide compatibility with the latest Intel and AMD DDR4 motherboards.","['Gaming', 'Editing', 'Content creation']",3200,,,,DDR4,,16,
ram,G.Skill Trident Z RGB 32GB (2 x 16GB) 288-Pin SDRAM PC4-28800 DDR4 3600MHz,17500,90.0,"Designed for maximum performance, the Trident Z RGB series combines vibrant RGB lighting with memory kits of various capacities and frequencies.","['Gaming', '3D rendering', 'Productivity']",3600,,,,DDR4,,32,
ram,Kingston HyperX Fury 8GB 2400MHz DDR4 CL15 DIMM,3500,70.0,"Automatic overclocking to the highest frequency published, reliable and stylish heat spreader.","['General', 'Office']",2400,,,,DDR4,,8,
ram,Crucial Ballistix 16GB Kit (8GBx2) DDR4 3000 MT/s,7000,80.0,"Designed for gamers, performance enthusiasts, and overclockers, Ballistix Sport LT memory delivers peak performance in the heat of battle.","['Gaming', 'Editing', 'Content creation']",3000,,,,DDR4,,16,
case,Antec P101 ATX Mid Tower Gaming Cabinet,9342,,"A mid-tower gaming cabinet designed for optimal airflow and noise reduction, featuring a minimalist design and ample space for high-end components.","['Gaming', 'Content creation', '3D rendering']",,,,,,,,
case,Corsair iCUE 4000X RGB Mid-Tower Case,8999,,"A stylish mid-tower case with tempered glass panels and RGB lighting, designed for excellent airflow and easy cable management.","['Gaming', 'Content creation', 'General']",,,,,,,,
case,NZXT H510 Compact ATX Mid-Tower Case,7499,,"A compact mid-tower case with a modern design, featuring a tempered glass side panel and a front panel USB-C connector.","['Gaming', 'Office', 'General']",,,,,,,,
processor,Intel Core i3-14100,10999,70.0,"14th Gen Intel Core i3 processor with 4 cores and 8 threads, ideal for basic computing tasks and office applications.","['General', 'Office']","Base: 3.5 GHz, Boost: up to 4.7 GHz",,4.0,65.0,"['DDR4', 'DDR5']",LGA 1700,,
processor,AMD Ryzen 5 5600X,20999,85.0,"6-core, 12-thread processor with excellent performance for gaming and content creation.","['Gaming', 'Content creation']","Base: 3.7 GHz, Boost: up to 4.6 GHz",,6.0,65.0,['DDR4'],AM4,,
processor,Intel Core i7-14700K,38999,92.0,"14th Gen Intel Core i7 processor with 16 cores and 24 threads, designed for high-end gaming and professional workloads.","['Gaming', 'Editing', '3D rendering']","Base: 3.4 GHz, Boost: up to 5.6 GHz",,16.0,125.0,"['DDR4', 'DDR5']",LGA 1700,,
psu,Corsair VS450,2999,70.0,"450W, 80 Plus White, Reliable Entry-Level PSU","['General', 'Office/Productivity']",,,,450.0,,,450W,
psu,Zebronics ZEB-N450W,2599,65.0,"450W, Basic PSU, Affordable and Functional","['General', 'Office/Productivity']",,,,450.0,,,450W,
psu,Antec VP500P Plus,3799,75.0,"500W, 80 Plus, Stable and Budget-Friendly","['General', 'Editing', 'Office/Productivity']",,,,500.0,,,500W,
motherboard,ASUS ROG Strix B550-F Gaming,18499,90.0,A high-performance gaming motherboard with PCIe 4.0 and robust power delivery.,"['Gaming', 'Content Creation']",5100,,,,DDR4,AM4,,
motherboard,MSI MAG B660M Mortar WiFi,14999,85.0,A solid choice for Intel 12th Gen CPUs with WiFi 6 and PCIe 4.0 support.,"['Gaming', 'Editing', 'Office/Productivity']",4800,,,,DDR4,LGA1700,,
motherboard,Gigabyte X570 AORUS Elite,17999,88.0,Premium AM4 motherboard with PCIe 4.0 and advanced thermal design.,"['Gaming', '3D Rendering', 'Content Creation']",4400,,,,DDR4,AM4,,
ssd,Samsung 990 Pro 1TB,12999,98.0,High-performance NVMe SSD with PCIe Gen4 for gaming and content creation.,"['Gaming', 'Content creation', '3D rendering', 'Editing']",,,,,,,1TB,PCIe 4.0 NVMe
ssd,Crucial P3 Plus 2TB,9999,85.0,Budget-friendly PCIe Gen4 SSD suitable for gaming and productivity.,"['Gaming', 'Office/Productivity', 'General']",,,,,,,2TB,PCIe 4.0 NVMe
ssd,WD Black SN850X 1TB,10999,95.0,High-end NVMe SSD optimized for gaming and content creation.,"['Gaming', 'Content creation', '3D rendering', 'Editing']",,,,,,,1TB,PCIe 4.0 NVMe
